pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
408,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,5
408,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,5
220,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,13
220,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,423
259,1123,706,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,10
259,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,197
63,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,11
63,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,4,774
63,1123,706,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,467
135,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,13
135,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,643
451,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,5
451,1123,438,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,5
