Region,Operator,Type,Cell,Freq,Band
A-R5,A,LTE,183,5110,12
A-R1,A,LTE,501,66486,66
A-R1,A,LTE,27,53139,46
A-R2,A,LTE,198,850,2
A-R1,A,LTE,445,9820,30
A-R2,A,LTE,100,850,2
A-R2,A,LTE,489,66661,66
A-R2,A,LTE,428,850,2
A-R2,A,LTE,352,66486,66
A-R2,A,LTE,62,850,2
A-R1,A,LTE,422,66486,66
A-R1,A,LTE,393,850,2
A-R3,A,LTE,409,9820,30
A-R1,A,LTE,178,5330,14
A-R1,A,LTE,448,66486,66
A-R1,A,LTE,496,66661,66
A-R1,A,LTE,457,53140,46
A-R5,A,LTE,458,53341,46
A-R1,A,LTE,295,53539,46
A-R1,A,LTE,89,53341,46
A-R1,A,LTE,143,53140,46
A-R1,A,LTE,96,53539,46
A-R5,A,LTE,250,5110,12
A-R2,A,LTE,419,53139,46
A-R2,A,LTE,450,850,2
A-R2,A,LTE,54,850,2
A-R2,A,LTE,220,66486,66
A-R2,A,LTE,361,66936,66
A-R3,A,LTE,361,5330,14
A-R2,A,LTE,192,66661,66
A-R2,A,LTE,395,850,2
A-R2,A,LTE,313,850,2
A-R4,A,LTE,178,9820,30
A-R1,A,LTE,331,53140,46
A-R1,A,LTE,275,53341,46
A-R1,A,LTE,316,53539,46
A-R2,A,LTE,430,52941,46
A-R1,A,LTE,458,52940,46
A-R1,A,LTE,295,53141,46
A-R1,A,LTE,457,53339,46
A-R2,A,LTE,399,850,2
A-R2,A,LTE,32,66661,66
A-R2,A,LTE,6,66661,66
A-R3,A,LTE,202,52740,46
A-R2,A,LTE,443,53139,46
A-R2,A,LTE,431,53139,46
A-R3,A,LTE,224,9820,30
A-R2,A,LTE,428,5330,14
A-R2,A,LTE,244,66486,66
A-R2,A,LTE,73,66661,66
A-R5,A,LTE,274,5110,12
A-R2,A,LTE,59,850,2
A-R2,A,LTE,305,850,2
A-R2,A,LTE,273,52941,46
A-R2,A,LTE,297,5110,12
A-R1,A,LTE,288,66936,66
A-R2,A,LTE,363,850,2
A-R2,A,LTE,151,850,2
A-R2,A,LTE,416,66486,66
A-R1,A,LTE,438,66486,66
A-R4,A,LTE,190,9820,30
A-R1,A,LTE,242,66486,66
A-R1,A,LTE,77,66661,66
A-R4,A,LTE,253,5110,12
A-R2,A,LTE,459,9820,30
A-R1,A,LTE,168,9820,30
A-R2,A,LTE,438,850,2
A-R1,A,LTE,208,850,2
A-R2,A,LTE,225,850,2
A-R2,A,LTE,397,850,2
A-R2,A,LTE,417,850,2
A-R2,A,LTE,285,850,2
A-R2,A,LTE,452,66661,66
A-R1,A,LTE,245,5330,14
A-R2,A,LTE,220,850,2
A-R2,A,LTE,332,850,2
A-R2,A,LTE,214,850,2
A-R1,A,LTE,436,66661,66
A-R2,A,LTE,2,850,2
A-R2,A,LTE,143,66486,66
A-R2,A,LTE,77,850,2
A-R2,A,LTE,381,850,2
A-R1,A,LTE,471,52740,46
A-R5,A,LTE,480,52941,46
A-R5,A,LTE,481,53139,46
A-R2,A,LTE,223,850,2
A-R2,A,LTE,165,66486,66
A-R1,A,LTE,291,9820,30
A-R2,A,LTE,257,66486,66
A-R3,A,LTE,218,52740,46
A-R2,A,LTE,438,52740,46
A-R2,A,LTE,28,53139,46
A-R2,A,LTE,97,9820,30
A-R2,A,LTE,262,5330,14
A-R2,A,LTE,439,850,2
A-R1,A,LTE,122,66486,66
A-R2,A,LTE,122,850,2
A-R1,A,LTE,479,5110,12
A-R1,A,LTE,354,850,2
A-R2,A,LTE,224,850,2
A-R2,A,LTE,190,66936,66
A-R1,A,LTE,97,66661,66
A-R1,A,LTE,408,66486,66
A-R5,A,LTE,189,5110,12
A-R2,A,LTE,51,850,2
A-R2,A,LTE,469,66486,66
A-R1,A,LTE,189,66936,66
A-R1,A,LTE,337,52940,46
A-R1,A,LTE,406,53141,46
A-R2,A,LTE,449,5110,12
A-R1,A,LTE,480,52740,46
A-R1,A,LTE,481,52941,46
A-R1,A,LTE,471,53139,46
A-R2,A,LTE,64,850,2
A-R2,A,LTE,493,850,2
A-R1,A,LTE,113,9820,30
A-R1,A,LTE,71,52940,46
A-R1,A,LTE,73,53141,46
A-R1,A,LTE,85,53339,46
