pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
459,66536,None,None,24,56242,24,56044,459,2561,None,None,None,None,None,None,1,514
459,66536,None,None,24,56440,24,56044,None,None,None,None,None,None,None,None,1,181
224,66536,None,None,104,56242,104,56044,224,2561,None,None,None,None,None,None,2,1590
81,66536,None,None,38,56044,38,56440,None,None,None,None,None,None,None,None,1,1857
81,66536,None,None,38,56242,38,56440,81,2561,None,None,None,None,None,None,3,3176
224,66536,None,None,104,56440,104,56044,None,None,None,None,None,None,None,None,1,426
459,925,None,None,24,56440,24,56044,24,56242,None,None,None,None,None,None,4,449
356,925,None,None,239,47290,239,47491,356,2561,None,None,None,None,None,None,1,101
459,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,176
239,925,None,None,109,56044,109,56242,109,56440,None,None,None,None,None,None,1,79
256,5230,None,None,256,2050,None,None,None,None,None,None,None,None,None,None,1,84
239,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,51
425,5230,None,None,425,2050,None,None,None,None,None,None,None,None,None,None,2,453
459,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,148
459,2561,None,None,24,53140,24,53341,24,53539,None,None,None,None,None,None,1,150
239,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,4
239,925,None,None,109,47489,109,47291,109,47090,None,None,None,None,None,None,1,120
459,5230,None,None,24,56440,24,56044,24,56242,None,None,None,None,None,None,1,251
459,66536,None,None,24,56044,24,56440,None,None,None,None,None,None,None,None,1,356
213,66536,None,None,21,56440,21,56242,213,2561,None,None,None,None,None,None,1,355
313,66536,None,None,4,56242,4,56044,313,2561,None,None,None,None,None,None,1,108
313,2561,None,None,4,56440,4,56242,4,56044,None,None,None,None,None,None,1,443
388,2561,None,None,134,56044,134,56242,134,56440,None,None,None,None,None,None,1,86
390,5230,None,None,390,2050,None,None,None,None,None,None,None,None,None,None,1,470
390,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,5
388,5230,None,None,134,47090,134,47291,134,47489,None,None,None,None,None,None,1,162
388,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,4
285,5230,None,None,285,2050,285,925,None,None,None,None,None,None,None,None,1,350
446,5230,None,None,111,56044,111,56440,111,56242,None,None,None,None,None,None,1,109
446,66536,None,None,111,56044,111,56440,None,None,None,None,None,None,None,None,3,792
56,66536,None,None,63,56440,63,56242,56,2561,None,None,None,None,None,None,1,21
213,66536,None,None,23,53140,23,53341,213,2561,None,None,None,None,None,None,2,304
388,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,355
356,66536,None,None,238,47090,238,47291,238,47489,None,None,None,None,None,None,1,195
356,66536,None,None,238,56440,238,56242,238,56044,None,None,None,None,None,None,1,4
356,66536,317,2071667,238,56440,238,56242,238,56044,None,None,None,None,None,None,1,63
356,66536,315,2071667,238,56440,238,56242,238,56044,None,None,None,None,None,None,1,85
81,66536,81,176930,38,56044,None,None,None,None,None,None,None,None,None,None,22,10877
239,66536,None,None,110,47090,110,47291,239,925,None,None,None,None,None,None,1,5
239,66536,109,2071667,110,47090,110,47291,239,925,None,None,None,None,None,None,1,165
239,66536,110,2071667,110,47090,110,47291,239,925,None,None,None,None,None,None,1,114
362,66536,404,2071667,362,5230,None,None,None,None,None,None,None,None,None,None,7,654
81,66536,81,176930,38,56440,None,None,None,None,None,None,None,None,None,None,32,11006
81,66536,224,176930,38,56440,None,None,None,None,None,None,None,None,None,None,7,674
178,66536,6,2239999,178,5230,None,None,None,None,None,None,None,None,None,None,2,674
81,66536,81,176930,38,56242,None,None,None,None,None,None,None,None,None,None,21,12669
239,66536,None,None,109,56044,109,56242,109,56440,None,None,None,None,None,None,1,4
239,66536,239,176930,109,56440,None,None,None,None,None,None,None,None,None,None,4,844
459,66536,181,176930,24,56044,None,None,None,None,None,None,None,None,None,None,11,3450
439,66536,224,176930,434,56044,None,None,None,None,None,None,None,None,None,None,2,609
439,66536,439,176930,434,56044,None,None,None,None,None,None,None,None,None,None,1,69
224,66536,224,176930,104,56044,None,None,None,None,None,None,None,None,None,None,10,1811
224,66536,81,176930,104,56044,None,None,None,None,None,None,None,None,None,None,10,414
409,66536,409,176930,364,47291,None,None,None,None,None,None,None,None,None,None,1,5
409,66536,None,None,364,47489,364,47090,None,None,None,None,None,None,None,None,1,5
81,66536,None,None,38,56242,38,56440,38,56044,None,None,None,None,None,None,4,74
280,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,137
445,66536,None,None,147,56242,147,56044,None,None,None,None,None,None,None,None,2,297
356,66536,None,None,239,47290,239,47491,356,925,None,None,None,None,None,None,8,738
283,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,209
460,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,14
81,66536,None,None,37,47090,37,47291,81,2561,None,None,None,None,None,None,1,66
218,925,None,None,29,47489,29,47291,29,47090,None,None,None,None,None,None,1,2515
356,925,None,None,238,56440,238,56242,238,56044,None,None,None,None,None,None,1,138
272,925,None,None,215,56044,215,56440,215,56242,None,None,None,None,None,None,1,56
213,925,None,None,21,56242,21,56044,21,56440,None,None,None,None,None,None,1,10
213,66536,None,None,23,47090,23,47291,213,2561,None,None,None,None,None,None,1,100
446,66536,None,None,111,56044,111,56242,446,2561,None,None,None,None,None,None,1,363
81,66536,None,None,38,56044,38,56242,81,2561,None,None,None,None,None,None,1,83
445,925,None,None,147,56242,147,56044,None,None,None,None,None,None,None,None,2,133
356,66536,None,None,238,47090,238,47489,238,47291,None,None,None,None,None,None,2,494
81,66536,None,None,38,47291,38,47489,38,47090,None,None,None,None,None,None,1,98
81,66536,None,None,38,56440,38,56242,81,925,None,None,None,None,None,None,1,54
81,66536,None,None,38,56440,38,56044,None,None,None,None,None,None,None,None,1,288
452,66536,88,2071667,None,None,None,None,None,None,None,None,None,None,None,None,1,239
356,66536,None,None,238,56440,238,56044,238,56242,None,None,None,None,None,None,5,16
356,66536,315,2071667,238,56440,238,56044,238,56242,None,None,None,None,None,None,4,262
239,66536,None,None,109,47489,109,47090,109,47291,None,None,None,None,None,None,5,18
239,66536,109,2071667,109,47489,109,47090,109,47291,None,None,None,None,None,None,3,534
239,66536,110,2071667,109,47489,109,47090,109,47291,None,None,None,None,None,None,2,184
446,66536,111,2071667,None,None,None,None,None,None,None,None,None,None,None,None,5,349
100,66536,None,None,181,56044,181,56242,181,56440,None,None,None,None,None,None,2,6
100,66536,110,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,1,1
100,66536,182,2071667,181,56044,181,56242,181,56440,None,None,None,None,None,None,2,319
56,66536,None,None,63,56440,63,56242,63,56044,None,None,None,None,None,None,3,10
56,66536,182,2071667,63,56440,63,56242,63,56044,None,None,None,None,None,None,2,2
56,66536,65,2071667,63,56440,63,56242,63,56044,None,None,None,None,None,None,2,247
56,66536,64,2071667,63,56440,63,56242,63,56044,None,None,None,None,None,None,1,114
56,66536,None,None,63,56044,63,56242,63,56440,None,None,None,None,None,None,1,6
56,66536,111,176930,63,56044,None,None,None,None,None,None,None,None,None,None,4,77
