grid_lat,grid_lon,coverage_type,total_rss_num,mw_rss_num,sub6_rss_num,lte_rss_num
39.769,-86.16,T101,5021,228,0,4793
39.769,-86.1595,T111,56505,2601,986,52918
39.769,-86.159,T111,3023,440,0,2583
39.769,-86.1585,T111,2177,648,36,1493
39.769,-86.158,T111,40446,847,1756,37843
39.769,-86.1575,T111,49138,1141,1004,46993
39.769,-86.157,T101,1628,337,0,1291
39.769,-86.1565,T111,4016,595,102,3319
39.769,-86.156,T111,40599,9710,101,30788
39.769,-86.1555,T111,1688,396,226,1066
39.769,-86.1545,T111,360,3,19,338
39.769,-86.154,T111,37006,2355,462,34189
39.769,-86.1525,T111,22296,4917,11,17368
39.769,-86.152,T101,17,2,0,15
39.769,-86.1515,T001,16,0,0,16
39.769,-86.151,T001,3,0,0,3
39.769,-86.1505,T111,16353,1152,1964,13237
39.769,-86.149,T111,8267,6,1767,6494
39.769,-86.1485,T111,15881,4,3324,12553
39.769,-86.147,T011,146,0,97,49
39.769,-86.1455,T011,15315,0,2954,12361
39.769,-86.145,T011,48,0,26,22
39.7695,-86.167,T101,1547,454,0,1093
39.7695,-86.1665,T111,8941,1950,4,6987
39.7695,-86.1645,T101,128,9,0,119
39.7695,-86.164,T101,5050,774,0,4276
39.7695,-86.1635,T111,28822,3024,9,25789
39.7695,-86.163,T111,25252,2474,191,22587
39.7695,-86.1625,T111,18921,1110,161,17650
39.7695,-86.162,T111,17971,2010,280,15681
39.7695,-86.1615,T111,72880,20566,890,51424
39.7695,-86.161,T111,102146,14386,178,87582
39.7695,-86.1605,T111,26002,2620,25,23357
39.7695,-86.16,T111,69480,4022,460,64998
39.7695,-86.1595,T111,142635,7939,1036,133660
39.7695,-86.159,T111,45759,2118,282,43359
39.7695,-86.1585,T111,37891,2179,484,35228
39.7695,-86.158,T111,78653,6158,488,72007
39.7695,-86.1575,T111,64525,5585,609,58331
39.7695,-86.157,T111,27188,2388,95,24705
39.7695,-86.1565,T111,27185,3474,312,23399
39.7695,-86.156,T111,77179,21404,1883,53892
39.7695,-86.1555,T111,6789,2051,39,4699
39.7695,-86.155,T111,5556,1326,34,4196
39.7695,-86.1545,T111,12413,3226,215,8972
39.7695,-86.154,T111,60707,11048,141,49518
39.7695,-86.1535,T111,17181,2470,217,14494
39.7695,-86.153,T111,5560,379,629,4552
39.7695,-86.1525,T111,52639,15813,2994,33832
39.7695,-86.152,T111,37851,13347,2573,21931
39.7695,-86.1515,T111,12121,3668,1593,6860
39.7695,-86.151,T111,20287,4914,2210,13163
39.7695,-86.1505,T111,50870,2459,9228,39183
39.7695,-86.15,T111,1122,121,2,999
39.7695,-86.1495,T111,685,8,33,644
39.7695,-86.149,T111,18073,26,1063,16984
39.7695,-86.1485,T111,44891,33,10863,33995
39.7695,-86.148,T011,1652,0,765,887
39.7695,-86.1475,T011,1369,0,585,784
39.7695,-86.147,T011,1849,0,966,883
39.7695,-86.1465,T011,1601,0,422,1179
39.7695,-86.146,T011,1469,0,540,929
39.7695,-86.1455,T011,9300,0,2213,7087
39.7695,-86.145,T011,503,0,6,497
39.77,-86.167,T101,2682,405,0,2277
39.77,-86.1665,T101,8516,2235,0,6281
39.77,-86.166,T111,2732,571,20,2141
39.77,-86.1655,T111,2359,213,23,2123
39.77,-86.165,T111,2764,127,4,2633
39.77,-86.1645,T101,6086,1144,0,4942
39.77,-86.164,T111,18525,2668,63,15794
39.77,-86.1635,T111,28266,8560,55,19651
39.77,-86.163,T111,64510,18486,1576,44448
39.77,-86.1625,T111,9891,850,945,8096
39.77,-86.162,T111,9423,1358,951,7114
39.77,-86.1615,T111,43180,6875,3356,32949
39.77,-86.161,T111,30117,3557,230,26330
39.77,-86.1605,T111,21648,630,538,20480
39.77,-86.16,T111,29685,1801,139,27745
39.77,-86.1595,T111,69616,3881,681,65054
39.77,-86.159,T111,23286,1448,131,21707
39.77,-86.1585,T111,15223,1030,64,14129
39.77,-86.158,T111,20521,1889,27,18605
39.77,-86.1575,T111,7499,604,93,6802
39.77,-86.157,T101,446,48,0,398
39.77,-86.1565,T101,485,286,0,199
39.77,-86.156,T111,12053,4406,21,7626
39.77,-86.1545,T011,198,0,1,197
39.77,-86.154,T111,17114,3333,7,13774
39.77,-86.1525,T111,41668,7933,1940,31795
39.77,-86.152,T101,105,51,0,54
39.77,-86.1515,T001,1,0,0,1
39.77,-86.151,T001,3,0,0,3
39.77,-86.1505,T111,9498,79,1290,8129
39.77,-86.1485,T111,47310,9,3443,43858
39.77,-86.1455,T011,5431,0,1786,3645
39.77,-86.145,T011,391,0,49,342
39.7705,-86.167,T101,1799,413,0,1386
39.7705,-86.1665,T101,4466,826,0,3640
39.7705,-86.163,T111,23839,3873,914,19052
39.7705,-86.1625,T001,13,0,0,13
39.7705,-86.162,T001,11,0,0,11
39.7705,-86.1615,T111,25684,8901,1851,14932
39.7705,-86.161,T111,5635,1057,2,4576
39.7705,-86.1605,T111,27,4,15,8
39.7705,-86.16,T111,2473,115,32,2326
39.7705,-86.1595,T111,45305,2935,597,41773
39.7705,-86.159,T111,1416,72,0,1344
39.7705,-86.1585,T101,1743,63,0,1680
39.7705,-86.158,T111,3206,329,9,2868
39.7705,-86.1575,T111,6057,740,183,5134
39.7705,-86.157,T001,5,0,0,5
39.7705,-86.1565,T001,6,0,0,6
39.7705,-86.156,T111,12789,3056,36,9697
39.7705,-86.1555,T101,105,44,0,61
39.7705,-86.1545,T111,93,3,2,88
39.7705,-86.154,T111,17724,2367,88,15269
39.7705,-86.1525,T111,18853,2546,373,15934
39.7705,-86.152,T011,17,0,6,11
39.7705,-86.1515,T101,20,9,0,11
39.7705,-86.1505,T111,11425,39,2903,8483
39.7705,-86.1485,T111,21703,3,2048,19652
39.7705,-86.146,T011,41,0,3,38
39.7705,-86.1455,T011,11423,0,3335,8088
39.7705,-86.145,T011,2313,0,692,1621
